,name,sport,training_effect,anaerobic_training_effect,start_time,stop_time,elapsed_time,distance,avg_hr,max_hr,calories,avg_cadence,max_cadence,avg_speed,max_speed,ascent,descent,start_lat,start_long,stop_lat,stop_long,start_date,hour,month,week,day_name,day_date,start_minute,start_second,start_microsecond,calpermin,total_time,work_day
0,Indoor Cycling,cycling,0.2,0.0,2023-01-09 11:14:38,2023-01-09 11:18:50.000000,2023-05-04 00:04:01,0.0,107.0,121.0,38,,,0.0,,,,,,,,2023-01-09,11,1,2,Monday,9,4,1,0,9.46058091286307,4.016666666666667,Work Day
1,Indoor Cycling,cycling,0.4,0.0,2023-01-09 11:19:07,2023-01-09 11:24:07.000000,2023-05-04 00:04:46,0.0,121.0,127.0,60,,,0.0,,,,,,,,2023-01-09,11,1,2,Monday,9,4,46,0,12.587412587412588,4.766666666666667,Work Day
2,Treadmill Running,running,2.6,0.0,2023-01-09 11:27:01,2023-01-09 11:39:21.000000,2023-05-04 00:11:54,0.999997527008,154.0,166.0,218,73.0,76.0,5.03981685493279,6.53409006453323,,,,,,,2023-01-09,11,1,2,Monday,9,11,54,0,18.319327731092436,11.9,Work Day
3,Treadmill Running,running,2.8,0.0,2023-01-09 11:39:38,2023-01-09 11:52:27.000000,2023-05-04 00:12:42,1.08143443648,164.0,173.0,249,72.0,78.0,5.10692487093353,6.13591551626587,,,,,,,2023-01-09,11,1,2,Monday,9,12,42,0,19.606299212598426,12.7,Work Day
4,Indoor Cycling,cycling,0.8,0.0,2023-01-09 20:59:26,2023-01-09 21:15:27.000000,2023-05-04 00:14:17,0.0,115.0,137.0,152,,,0.0,,,,,,,,2023-01-09,20,1,2,Monday,9,14,17,0,10.641773628938157,14.283333333333333,Work Day
5,Elliptical,elliptical,0.4,0.0,2023-01-09 21:16:01,2023-01-09 21:21:32.000000,2023-05-04 00:04:26,0.0,117.0,130.0,52,38.0,56.0,0.0,,,,,,,,2023-01-09,21,1,2,Monday,9,4,26,0,11.729323308270676,4.433333333333334,Work Day
6,Benchmark Run,running,2.1,0.0,2023-01-10 11:40:58,2023-01-10 11:50:41.000000,2023-05-04 00:09:00,0.7162856508,138.0,170.0,137,70.0,101.0,4.77585833866692,7.61900378986931,,,,,,,2023-01-10,11,1,2,Tuesday,10,9,0,0,15.222222222222221,9.0,Work Day
7,Treadmill Running,running,2.3,0.0,2023-01-10 11:52:29,2023-01-10 12:02:16.000000,2023-05-04 00:08:45,0.659218919792,158.0,164.0,168,70.0,105.0,4.5320323871994,5.42680700053024,,,,,,,2023-01-10,11,1,2,Tuesday,10,8,45,0,19.2,8.75,Work Day
9,Walk/Run Repeats,running,3.1,0.1,2023-01-11 11:56:47,2023-01-11 12:30:00.000000,2023-05-04 00:32:41,2.39361506808,140.0,176.0,474,66.0,80.0,4.48729370986557,7.07542880693054,,,,,,,2023-01-11,11,1,2,Wednesday,11,32,41,0,14.502804691483938,32.68333333333333,Off Day
10,Indoor Cycling,cycling,2.2,0.0,2023-01-11 12:33:14,2023-01-11 12:53:35.000000,2023-05-04 00:20:01,0.0,135.0,160.0,298,,,0.0,,,,,,,,2023-01-11,12,1,2,Wednesday,11,20,1,0,14.887593671940051,20.016666666666666,Off Day
8,Indoor Cycling,cycling,0.2,0.0,2023-01-11 11:41:59,2023-01-11 11:52:04.000000,2023-05-04 00:09:55,0.0,104.0,110.0,82,,,0.0,,,,,,,,2023-01-11,11,1,2,Wednesday,11,9,55,0,8.268907563025211,9.916666666666666,Off Day
11,Indoor Cycling,cycling,2.4,0.1,2023-01-12 11:43:41,2023-01-12 12:14:13.000000,2023-05-04 00:30:12,0.0,131.0,168.0,397,,,0.0,,,,,,,,2023-01-12,11,1,2,Thursday,12,30,12,0,13.145695364238412,30.2,Off Day
12,Strength,strength_training,0.1,0.0,2023-01-12 13:18:17,2023-01-12 13:28:58.000000,2023-05-04 00:10:34,0.0,90.0,109.0,62,,,0.0,,,,,,,,2023-01-12,13,1,2,Thursday,12,10,34,0,5.867507886435331,10.566666666666666,Off Day
13,Delhi Running,running,2.6,0.0,2023-01-12 18:29:51,2023-01-12 18:44:18.000000,2023-05-04 00:14:12,0.999171103312,149.0,178.0,240,62.0,79.0,4.22109815306759,5.90774804853249,124.6719162,91.8635172,39.1084031760693,-84.6428671851754,39.1082980670035,-84.643021998927,2023-01-12,18,1,2,Thursday,12,14,12,0,16.901408450704228,14.2,Off Day
14,Indoor Cycling,cycling,0.3,0.0,2023-01-13 11:23:01,2023-01-13 11:30:02.000000,2023-05-04 00:05:07,0.0,105.0,118.0,39,,,0.0,,,,,,,,2023-01-13,11,1,2,Friday,13,5,7,0,7.622149837133551,5.116666666666666,Work Day
15,Walk/Run Repeats,running,4.0,0.0,2023-01-13 11:31:33,2023-01-13 12:02:42.000000,2023-05-04 00:30:48,1.818436603088,151.0,175.0,385,72.0,79.0,4.19649204053211,4.96823475786781,,,,,,,2023-01-13,11,1,2,Friday,13,30,48,0,12.5,30.8,Work Day
16,Indoor Cycling,cycling,0.5,0.0,2023-01-15 16:43:32,2023-01-15 16:52:01.000000,2023-05-04 00:08:23,0.0,103.0,121.0,62,,,0.0,,,,,,,,2023-01-15,16,1,2,Sunday,15,8,23,0,7.395626242544732,8.383333333333333,Work Day
17,Walk/Run Repeats,running,3.1,0.3,2023-01-15 16:53:31,2023-01-15 17:16:48.000000,2023-05-04 00:23:00,1.606250765712,155.0,176.0,359,71.0,80.0,4.18978118559933,5.00849988746452,,,,,,,2023-01-15,16,1,2,Sunday,15,23,0,0,15.608695652173912,23.0,Work Day
19,Indoor Cycling,cycling,1.6,0.0,2023-01-16 12:06:42,2023-01-16 12:37:02.000000,2023-05-04 00:30:07,0.0,126.0,149.0,316,,,0.0,,,,,,,,2023-01-16,12,1,3,Monday,16,30,7,0,10.492529053680133,30.116666666666667,Work Day
18,Stair Stepper,stair_climbing,2.4,0.0,2023-01-16 11:38:21,2023-01-16 12:02:05.000000,2023-05-04 00:22:09,0.0,137.0,158.0,295,40.0,106.0,0.0,,,,,,,,2023-01-16,11,1,3,Monday,16,22,9,0,13.318284424379234,22.15,Work Day
21,Walk/Run Repeats,running,3.1,0.1,2023-01-17 11:13:35,2023-01-17 11:33:51.000000,2023-05-04 00:20:00,1.362598690768,161.0,176.0,325,72.0,78.0,4.08688212106609,4.78033241973114,,,,,,,2023-01-17,11,1,3,Tuesday,17,20,0,0,16.25,20.0,Work Day
22,Indoor Cycling,cycling,0.9,0.0,2023-01-17 11:40:14,2023-01-17 11:53:13.000000,2023-05-04 00:05:10,0.0,137.0,146.0,70,,,0.0,,,,,,,,2023-01-17,11,1,3,Tuesday,17,5,10,0,13.548387096774192,5.166666666666667,Work Day
20,Indoor Cycling,cycling,0.2,0.0,2023-01-17 11:05:34,2023-01-17 11:12:55.000000,2023-05-04 00:07:16,0.0,107.0,122.0,58,,,0.0,,,,,,,,2023-01-17,11,1,3,Tuesday,17,7,16,0,7.981651376146789,7.266666666666667,Work Day
23,Indoor Cycling,cycling,0.4,0.0,2023-01-18 11:49:12,2023-01-18 12:01:26.000000,2023-05-04 00:08:38,0.0,113.0,127.0,78,,,0.0,,,,,,,,2023-01-18,11,1,3,Wednesday,18,8,38,0,9.034749034749035,8.633333333333333,Off Day
24,Walk/Run Repeats,running,3.3,0.0,2023-01-18 12:01:48,2023-01-18 12:40:14.000000,2023-05-04 00:38:00,2.581977533648,156.0,172.0,582,71.0,80.0,4.07569745173264,4.88323148426437,,,,,,,2023-01-18,12,1,3,Wednesday,18,38,0,0,15.31578947368421,38.0,Off Day
25,Stair Stepper,stair_climbing,1.3,0.0,2023-01-19 14:31:48,2023-01-19 14:44:09.000000,2023-05-04 00:10:54,0.0,126.0,153.0,125,24.0,85.0,0.0,,,,,,,,2023-01-19,14,1,3,Thursday,19,10,54,0,11.46788990825688,10.9,Off Day
26,Indoor Cycling,cycling,2.0,0.0,2023-01-19 14:44:20,2023-01-19 15:07:05.000000,2023-05-04 00:22:26,0.0,126.0,163.0,237,,,0.0,,,,,,,,2023-01-19,14,1,3,Thursday,19,22,26,0,10.564635958395245,22.433333333333334,Off Day
27,Delhi Running,running,3.2,0.2,2023-01-19 17:15:01,2023-01-19 17:54:52.000000,2023-05-04 00:39:13,3.147916208896,160.0,179.0,598,69.0,102.0,4.81612346826363,8.30798027413368,282.1522314,449.4750663,39.1086475085467,-84.6432348154485,39.1085448302329,-84.6430732961744,2023-01-19,17,1,3,Thursday,19,39,13,0,15.248618784530386,39.21666666666667,Off Day
28,Indoor Cycling,cycling,0.1,0.0,2023-01-21 11:14:23,2023-01-21 11:20:45.000000,2023-05-04 00:05:01,0.0,105.0,118.0,38,,,0.0,,,,,,,,2023-01-21,11,1,3,Saturday,21,5,1,0,7.574750830564784,5.016666666666667,Work Day
29,Walk/Run Repeats,running,3.4,0.2,2023-01-21 11:21:30,2023-01-21 11:53:49.000000,2023-05-04 00:32:00,2.37615453736,157.0,173.0,493,72.0,79.0,4.45597647573376,5.03086922613144,,,,,,,2023-01-21,11,1,3,Saturday,21,32,0,0,15.40625,32.0,Work Day
31,Walk/Run Repeats,running,3.3,0.2,2023-01-23 11:57:13,2023-01-23 12:26:32.000000,2023-05-04 00:29:00,2.181590787216,160.0,173.0,453,73.0,81.0,4.51413659626961,5.09350316106796,,,,,,,2023-01-23,11,1,4,Monday,23,29,0,0,15.620689655172415,29.0,Work Day
30,Indoor Cycling,cycling,0.5,0.0,2023-01-23 11:47:25,2023-01-23 11:56:31.000000,2023-05-04 00:08:11,0.0,114.0,132.0,74,,,0.0,,,,,,,,2023-01-23,11,1,4,Monday,23,8,11,0,9.04276985743381,8.183333333333334,Work Day
33,Stair Stepper,stair_climbing,2.5,0.0,2023-01-24 12:03:13,2023-01-24 12:24:26.000000,2023-05-04 00:20:03,0.0,146.0,160.0,288,37.0,77.0,0.0,,,,,,,,2023-01-24,12,1,4,Tuesday,24,20,3,0,14.364089775561096,20.05,Work Day
32,Indoor Cycling,cycling,1.6,0.0,2023-01-24 11:41:11,2023-01-24 12:02:59.000000,2023-05-04 00:20:06,0.0,126.0,148.0,220,,,0.0,,,,,,,,2023-01-24,11,1,4,Tuesday,24,20,6,0,10.945273631840795,20.1,Work Day
34,Indoor Cycling,cycling,0.8,0.0,2023-01-25 12:41:01,2023-01-25 12:49:53.000000,2023-05-04 00:08:07,0.0,124.0,138.0,90,,,0.0,,,,,,,,2023-01-25,12,1,4,Wednesday,25,8,7,0,11.08829568788501,8.116666666666667,Off Day
35,Walk/Run Repeats,running,3.3,0.0,2023-01-25 12:51:53,2023-01-25 13:19:14.000000,2023-05-04 00:26:00,1.954467186192,161.0,174.0,417,73.0,79.0,4.50966304853249,4.98836732266617,,,,,,,2023-01-25,12,1,4,Wednesday,25,26,0,0,16.03846153846154,26.0,Off Day
36,Stair Stepper,stair_climbing,2.1,0.0,2023-01-25 13:22:56,2023-01-25 13:34:49.000000,2023-05-04 00:09:48,0.0,152.0,166.0,152,42.0,70.0,0.0,,,,,,,,2023-01-25,13,1,4,Wednesday,25,9,48,0,15.510204081632653,9.8,Off Day
39,Indoor Cycling,cycling,2.1,0.0,2023-01-26 12:41:31,2023-01-26 13:21:49.000000,2023-05-04 00:11:43,0.0,135.0,156.0,154,,,0.0,,,,,,,,2023-01-26,12,1,4,Thursday,26,11,43,0,13.143669985775249,11.716666666666667,Off Day
37,Indoor Cycling,cycling,0.3,0.0,2023-01-26 12:08:58,2023-01-26 12:15:30.000000,2023-05-04 00:05:08,0.0,114.0,128.0,48,,,0.0,,,,,,,,2023-01-26,12,1,4,Thursday,26,5,8,0,9.35064935064935,5.133333333333334,Off Day
38,Stair Stepper,stair_climbing,2.4,0.0,2023-01-26 12:15:45,2023-01-26 12:40:57.000000,2023-05-04 00:23:12,0.0,143.0,157.0,325,12.0,77.0,0.0,,,,,,,,2023-01-26,12,1,4,Thursday,26,23,12,0,14.008620689655173,23.2,Off Day
42,Treadmill Running,running,2.0,0.0,2023-01-27 11:58:25,2023-01-27 12:05:13.000000,2023-05-04 00:06:42,0.530737996768,159.0,167.0,110,74.0,79.0,4.75125222613144,5.03086922613144,,,,,,,2023-01-27,11,1,4,Friday,27,6,42,0,16.417910447761194,6.7,Work Day
43,Indoor Rowing,indoor_rowing,2.1,0.0,2023-01-27 12:09:36,2023-01-27 12:29:53.000000,2023-05-04 00:20:04,0.0,137.0,155.0,262,29.0,36.0,0.0,,,,,,,,2023-01-27,12,1,4,Friday,27,20,4,0,13.056478405315614,20.066666666666666,Work Day
40,Indoor Cycling,cycling,0.6,0.0,2023-01-27 11:32:03,2023-01-27 11:40:18.000000,2023-05-04 00:07:03,0.0,121.0,131.0,76,,,0.0,,,,,,,,2023-01-27,11,1,4,Friday,27,7,3,0,10.78014184397163,7.05,Work Day
41,Run,running,2.6,0.0,2023-01-27 11:41:26,2023-01-27 11:58:05.000000,2023-05-04 00:16:26,1.202552110784,155.0,170.0,250,72.0,79.0,4.3866314192009,4.98836732266617,,,,,,,2023-01-27,11,1,4,Friday,27,16,26,0,15.212981744421906,16.433333333333334,Work Day
46,Indoor Rowing,indoor_rowing,1.2,0.0,2023-01-28 12:15:50,2023-01-28 12:26:18.000000,2023-05-04 00:10:12,0.0,130.0,151.0,124,27.0,32.0,0.0,,,,,,,,2023-01-28,12,1,4,Saturday,28,10,12,0,12.15686274509804,10.2,Work Day
45,Indoor Cycling,cycling,1.8,0.0,2023-01-28 11:57:54,2023-01-28 12:15:05.000000,2023-05-04 00:15:04,0.0,134.0,143.0,193,,,0.0,,,,,,,,2023-01-28,11,1,4,Saturday,28,15,4,0,12.809734513274336,15.066666666666666,Work Day
44,Indoor Rowing,indoor_rowing,2.0,0.0,2023-01-28 11:32:18,2023-01-28 11:54:23.000000,2023-05-04 00:21:58,0.0,132.0,154.0,245,29.0,33.0,0.0,,,,,,,,2023-01-28,11,1,4,Saturday,28,21,58,0,11.153262518968134,21.966666666666665,Work Day
47,Indoor Rowing,indoor_rowing,0.2,0.0,2023-01-29 11:25:32,2023-01-29 11:31:29.000000,2023-05-04 00:05:05,0.0,110.0,121.0,43,24.0,26.0,0.0,,,,,,,,2023-01-29,11,1,4,Sunday,29,5,5,0,8.459016393442623,5.083333333333333,Work Day
48,Run,running,3.1,0.0,2023-01-29 11:34:36,2023-01-29 11:58:18.000000,2023-05-04 00:23:17,1.71399031808,160.0,172.0,372,71.0,81.0,4.41347483893204,5.07113382240105,,,,,,,2023-01-29,11,1,4,Sunday,29,23,17,0,15.977093772369361,23.283333333333335,Work Day
49,Indoor Rowing,indoor_rowing,2.2,0.0,2023-01-29 12:02:10,2023-01-29 12:18:17.000000,2023-05-04 00:15:07,0.0,146.0,171.0,220,27.0,30.0,0.0,,,,,,,,2023-01-29,12,1,4,Sunday,29,15,7,0,14.553472987872105,15.116666666666667,Work Day
50,Indoor Rowing,indoor_rowing,1.9,0.0,2023-01-30 11:45:17,2023-01-30 12:05:42.000000,2023-05-04 00:20:05,0.0,130.0,153.0,235,27.0,34.0,0.0,,,,,,,,2023-01-30,11,1,5,Monday,30,20,5,0,11.70124481327801,20.083333333333332,Work Day
51,Treadmill Running,running,2.5,0.0,2023-01-30 12:08:13,2023-01-30 12:20:51.000000,2023-05-04 00:12:26,1.006285803552,162.0,172.0,204,77.0,82.0,4.85415129066467,5.05100125760269,,,,,,,2023-01-30,12,1,5,Monday,30,12,26,0,16.407506702412867,12.433333333333334,Work Day
52,Indoor Rowing,indoor_rowing,1.7,0.0,2023-01-30 12:26:09,2023-01-30 12:43:14.000000,2023-05-04 00:12:17,0.0,135.0,148.0,157,28.0,31.0,0.0,,,,,,,,2023-01-30,12,1,5,Monday,30,12,17,0,12.781546811397558,12.283333333333333,Work Day
53,Rowing 1 on 2 soft,indoor_rowing,2.1,0.0,2023-01-30 20:38:20,2023-01-30 21:01:06.000000,2023-05-04 00:22:39,0.0,137.0,155.0,272,29.0,46.0,0.0,,,,,,,,2023-01-30,20,1,5,Monday,30,22,39,0,12.008830022075056,22.65,Work Day
58,Rowing 1 on 2 soft,indoor_rowing,0.3,0.0,2023-01-31 12:12:47,2023-01-31 12:15:56.000000,2023-05-04 00:03:03,0.0,126.0,131.0,35,27.0,37.0,0.0,,,,,,,,2023-01-31,12,1,5,Tuesday,31,3,3,0,11.475409836065575,3.05,Work Day
57,Treadmill Running,running,2.4,0.0,2023-01-31 11:56:16,2023-01-31 12:08:59.000000,2023-05-04 00:12:30,1.00764660648,158.0,165.0,202,76.0,78.0,4.83401872586632,4.98836732266617,,,,,,,2023-01-31,11,1,5,Tuesday,31,12,30,0,16.16,12.5,Work Day
