day,hr_avg,hr_min,hr_max,rhr,inactive_hr,weight,intensity_time,moderate_activity_time,vigorous_activity_time,steps,steps_goal_percent,floors,floors_goal_percent,sleep_avg,rem_sleep_avg,stress_avg,calories_avg,calories_bmr_avg,calories_active_avg,calories_consumed_avg,calories_goal,activities,activities_calories,activities_distance,hydration_goal,hydration_avg,sweat_loss_avg,spo2_avg,spo2_min,rr_waking_avg,rr_max,rr_min,bb_max,bb_min
2023-04-21,64.9,41.0,151.0,,64.4,,00:00:00.000000,00:00:00.000000,00:00:00.000000,4398,,8.7,,00:00:00.000000,00:00:00.000000,21.0,,,996.0,,,1,424.0,2.7,,,,,,,,,,
2023-04-20,79.3,46.0,157.0,49.0,78.7,,00:41:00.000000,00:01:00.000000,00:20:00.000000,8778,58.0,7.3,73.0,05:31:00.000000,00:53:00.000000,34.0,3369.0,2572.0,797.0,0.0,2659.0,1,337.0,2.1,100.0,0.0,17.0,,,13.0,23.0,10.0,87.0,5.0
2023-04-19,78.7,43.0,171.0,47.0,66.6,237.2,01:52:00.000000,00:10:00.000000,00:51:00.000000,17652,123.0,0.0,0.0,06:48:00.000000,01:00:00.000000,40.0,3833.0,2572.0,1261.0,0.0,2659.0,1,700.0,4.3,100.0,0.0,17.0,,,14.0,21.0,11.0,58.0,5.0
2023-04-18,75.9,43.0,165.0,45.0,59.1,238.8,02:14:00.000000,00:18:00.000000,00:58:00.000000,17699,127.0,0.0,0.0,08:44:00.000000,00:34:00.000000,27.0,4016.0,2581.0,1435.0,,2659.0,2,894.0,2.5,100.0,0.0,15.0,,,13.0,20.0,11.0,82.0,5.0
2023-04-17,73.1,43.0,126.0,46.0,60.7,237.8,00:49:00.000000,00:49:00.000000,00:00:00.000000,12125,84.0,0.0,0.0,07:51:00.000000,01:06:00.000000,32.0,3254.0,2576.0,678.0,1267.0,2659.0,2,412.0,0.0,100.0,0.0,11.0,,,13.0,21.0,10.0,77.0,5.0
2023-04-16,72.4,42.0,170.0,43.0,68.4,236.4,01:01:00.000000,00:11:00.000000,00:25:00.000000,12463,85.0,0.0,0.0,07:22:00.000000,01:06:00.000000,27.0,3270.0,2568.0,702.0,0.0,2659.0,1,413.0,2.6,100.0,0.0,11.0,,,15.0,23.0,10.0,73.0,5.0
2023-04-15,80.7,46.0,167.0,47.0,67.9,236.8,01:05:00.000000,00:09:00.000000,00:28:00.000000,17914,130.0,0.0,0.0,04:58:00.000000,01:02:00.000000,35.0,3514.0,2570.0,944.0,0.0,2659.0,1,401.0,2.5,100.0,0.0,10.0,,,14.0,24.0,10.0,53.0,5.0
2023-04-14,81.1,43.0,166.0,50.0,62.9,238.6,01:01:00.000000,00:09:00.000000,00:26:00.000000,16108,122.0,0.0,0.0,06:40:00.000000,01:25:00.000000,34.0,3854.0,2580.0,1274.0,0.0,2659.0,1,405.0,2.5,100.0,0.0,11.0,,,14.0,23.0,11.0,59.0,5.0
2023-04-13,85.2,46.0,168.0,49.0,62.7,238.6,02:25:00.000000,01:03:00.000000,00:41:00.000000,18032,143.0,0.0,0.0,06:47:00.000000,01:40:00.000000,41.0,4217.0,2580.0,1637.0,2230.0,2659.0,1,422.0,2.6,100.0,0.0,10.0,,,14.0,21.0,11.0,59.0,5.0
2023-04-12,75.3,46.0,173.0,49.0,60.4,237.4,01:39:00.000000,00:17:00.000000,00:41:00.000000,11667,91.0,0.0,0.0,07:31:00.000000,00:32:00.000000,38.0,3391.0,2574.0,817.0,1370.0,2659.0,1,671.0,4.1,100.0,0.0,14.0,,,13.0,21.0,11.0,59.0,5.0
2023-04-11,79.2,44.0,168.0,46.0,61.9,237.0,01:58:00.000000,00:10:00.000000,00:54:00.000000,17991,158.0,0.0,0.0,09:45:00.000000,00:54:00.000000,30.0,4173.0,2571.0,1602.0,,2274.0,3,731.0,2.9,100.0,0.0,18.0,,,13.0,22.0,9.0,79.0,5.0
2023-04-10,76.0,43.0,164.0,46.0,60.4,236.4,00:56:00.000000,00:08:00.000000,00:24:00.000000,12211,108.0,0.0,0.0,05:03:00.000000,00:42:00.000000,30.0,3731.0,2568.0,1163.0,0.0,2274.0,1,380.0,0.0,100.0,0.0,6.0,,,14.0,21.0,10.0,80.0,5.0
